radius_mean,area_mean
18.45,1075.0
12.77,506.3
11.71,423.6
11.43,399.8
14.95,678.1
11.28,384.8
9.738,288.5
16.11,813.0
11.43,398.0
12.9,512.2
10.75,355.3
11.9,432.8
11.8,432.0
14.95,689.5
14.44,640.1
13.74,585.0
13.0,519.4
8.219,203.9
9.731,300.2
11.15,381.9
13.15,538.9
12.25,460.3
17.68,963.7
16.84,880.2
12.06,448.6
10.9,366.8
11.75,419.8
19.19,1157.0
19.59,1214.0
12.34,464.5
23.27,1686.0
14.97,690.2
10.8,357.6
16.78,886.3
17.47,984.6
14.97,685.9
12.32,464.1
13.43,565.4
15.46,736.9
11.08,372.7
10.66,349.6
8.671,227.2
9.904,302.4
16.46,832.9
13.01,526.4
12.81,508.8
27.22,2250.0
21.09,1311.0
15.7,766.6
11.41,402.0
15.28,710.6
10.08,317.5
18.31,1041.0
11.71,420.3
11.81,428.9
12.3,463.7
14.22,609.9
12.77,507.4
9.72,288.1
12.34,477.4
14.86,671.4
12.91,516.4
13.77,588.9
18.08,1024.0
19.18,1148.0
14.45,642.7
12.23,461.0
17.54,951.6
23.29,1685.0
13.81,597.8
12.47,481.9
15.12,716.6
9.876,295.4
17.01,904.3
13.11,529.4
15.27,725.5
20.58,1290.0
11.84,428.0
28.11,2499.0
17.42,948.0
14.19,610.7
13.86,578.9
11.89,432.2
10.2,321.2
19.8,1230.0
19.53,1223.0
13.65,568.9
13.56,561.3
10.18,313.1
15.75,761.3
13.27,546.4
14.34,641.2
10.44,329.6
15.0,684.5
12.62,496.4
12.83,503.2
17.05,895.0
11.32,395.7
11.22,386.8
20.51,1319.0
9.567,279.6
14.03,603.4
23.21,1670.0
20.48,1306.0
14.22,623.9
17.46,920.6
13.64,575.3
12.42,476.5
11.3,389.4
13.75,590.0
19.4,1155.0
10.48,337.7
13.2,541.6
12.89,512.2
10.65,347.0
11.52,406.3
20.94,1364.0
11.5,407.4
19.73,1206.0
17.3,928.2
19.45,1169.0
13.96,602.4
19.55,1207.0
15.32,713.3
15.66,773.5
15.53,744.9
20.31,1288.0
17.35,933.1
17.29,947.8
15.61,758.6
17.19,928.3
20.73,1419.0
10.6,346.4
13.59,561.0
12.87,512.2
10.71,344.9
14.29,632.6
11.29,388.0
21.75,1491.0
9.742,289.9
17.93,998.9
11.89,435.6
11.33,396.6
18.81,1102.0
13.59,572.3
13.85,587.4
19.16,1138.0
11.74,427.3
19.4,1145.0
16.24,805.1
12.89,516.6
12.58,489.0
11.94,441.0
12.89,515.9
11.26,394.1
11.37,396.0
14.41,651.0
14.96,687.3
12.95,513.7
11.85,432.7
12.72,492.1
13.77,582.7
10.91,363.7
11.76,431.1
14.26,633.1
10.51,334.2
19.53,1217.0
12.46,471.3
20.09,1247.0
10.49,334.3
11.46,403.1
11.6,417.2
13.2,537.3
9.0,246.3
13.5,566.2
13.05,530.6
11.7,418.7
14.61,664.9
12.76,504.1
11.54,409.1
8.597,221.2
12.49,481.6
12.18,461.4
18.22,1027.0
9.042,244.5
12.43,477.3
10.25,324.2
20.16,1274.0
12.86,504.8
20.34,1264.0
12.2,457.9
12.67,489.9
14.11,616.5
12.03,446.0
16.27,813.7
16.26,826.8
16.03,793.2
12.98,514.0
11.22,387.3
11.25,390.0
12.3,464.4
17.06,918.6
12.99,514.3
18.77,1092.0
10.05,310.8
23.51,1747.0
14.42,641.2
9.606,280.5
11.06,373.9
19.68,1194.0
11.71,420.3
10.26,321.6
12.06,445.3
14.76,668.7
11.47,402.7
11.95,426.7
11.66,421.0
15.75,758.6
25.73,2010.0
15.08,716.6
11.14,384.6
12.56,485.8
13.05,512.0
13.87,593.7
8.878,241.0
9.436,278.6
12.54,491.9
13.3,546.1
12.76,496.6
16.5,838.1
13.4,552.4
20.44,1293.0
20.2,1234.0
12.21,458.4
21.71,1546.0
22.01,1482.0
16.35,840.4
15.19,711.8
21.37,1386.0
20.64,1335.0
13.69,579.1
16.17,788.5
10.57,338.3
13.46,562.1
13.66,580.6
11.08,361.6
11.27,386.3
11.04,372.7
12.05,447.8
12.39,462.9
13.28,541.8
14.6,664.7
12.21,462.0
13.88,596.6
11.27,392.0
19.55,1174.0
10.26,321.6
8.734,234.3
15.49,744.7
21.61,1407.0
12.1,446.2
14.06,609.1
13.51,558.1
12.8,508.3
11.06,378.2
11.8,431.9
17.91,994.0
11.93,442.7
12.96,525.2
12.94,507.6
12.34,469.1
10.94,370.0
16.14,800.0
12.85,514.5
17.99,991.7
12.27,466.1
11.36,399.8
11.04,373.2
9.397,268.8
14.99,693.7
15.13,719.5
11.89,433.8
9.405,271.2
15.5,803.1
12.7,495.0
11.16,380.3
11.57,409.7
14.69,656.1
11.61,408.2
13.66,575.3
9.742,289.7
10.03,307.3
10.48,333.6
10.8,359.9
11.13,381.1
12.72,501.3
14.9,685.0
12.4,467.8
20.18,1250.0
18.82,1110.0
14.86,673.7
13.98,599.5
12.87,509.2
14.04,611.2
13.85,592.6
14.02,606.5
10.97,371.5
17.27,928.8
13.78,585.9
10.57,340.9
18.03,990.0
11.99,441.3
17.75,981.6
14.8,674.8
14.53,659.7
21.1,1384.0
11.87,432.0
19.59,1191.0
12.0,442.5
14.53,644.2
12.62,492.9
13.38,557.2
11.63,415.1
13.21,537.9
13.0,520.2
9.755,290.9
17.08,930.9
27.42,2501.0
14.4,646.1
11.6,412.7
13.17,537.3
13.24,542.9
13.14,536.9
9.668,286.3
17.6,980.5
11.62,408.8
9.667,289.1
12.04,449.9
14.92,686.9
12.27,465.4
10.88,358.9
12.83,506.9
14.2,618.4
13.9,599.4
11.49,404.9
16.25,815.8
12.16,455.3
13.9,602.9
13.47,546.3
13.7,571.1
15.73,747.2
12.45,476.7
14.64,666.0
19.44,1167.0
11.68,420.5
16.69,857.6
12.25,466.5
17.85,992.1
18.01,1007.0
12.46,477.3
13.16,538.7
14.87,680.9
12.65,485.6
12.47,480.1
18.49,1068.0
20.59,1320.0
15.04,689.4
13.82,595.9
12.54,476.3
23.09,1682.0
9.268,248.7
9.676,272.5
12.22,453.1
11.06,366.5
16.3,819.8
15.46,731.3
11.74,426.0
14.81,680.7
13.4,556.7
14.58,658.8
15.05,701.9
11.34,391.2
18.31,1052.0
19.89,1214.0
12.88,493.1
12.75,493.8
9.295,257.8
24.63,1841.0
11.26,388.1
13.71,571.0
9.847,293.2
8.571,221.3
13.46,551.1
12.34,468.5
13.94,594.2
12.07,445.2
11.75,422.9
11.67,416.2
13.68,575.5
20.47,1299.0
10.96,365.6
20.55,1308.0
14.27,629.8
11.69,406.4
7.729,178.8
7.691,170.4
11.54,402.9
14.47,656.4
14.74,668.6
13.21,538.4
13.87,584.8
13.62,573.2
10.32,324.9
10.26,320.8
9.683,285.7
10.82,361.6
10.86,360.5
11.13,378.4
12.77,507.9
9.333,264.0
12.88,514.3
10.29,321.4
10.16,311.7
9.423,271.3
14.59,657.1
11.51,403.5
14.05,600.4
11.2,386.0
15.22,716.9
20.92,1347.0
21.56,1479.0
20.13,1261.0
16.6,858.1
20.6,1265.0
7.76,181.0
